soil_type,season,temperature,humidity,rainfall,crop
clay,Kharif,24.2,75.5,142.32,Rice
clay,Kharif,29.41,87.84,128.69,Rice
alluvial,Kharif,24.25,71.87,143.27,Rice
clay,Kharif,28.49,84.32,190.13,Rice
alluvial,Kharif,25.76,81.79,200.94,Rice
clay,Kharif,30.07,73.19,162.26,Rice
alluvial,Kharif,25.24,89.14,153.66,Rice
clay,Kharif,27.04,77.18,154.4,Rice
alluvial,Kharif,30.46,84.59,173.62,Rice
alluvial,Kharif,24.63,75.86,182.86,Rice
alluvial,Kharif,28.62,84.09,124.58,Rice
clay,Kharif,30.18,89.7,205.53,Rice
clay,Kharif,27.04,79.07,203.41,Rice
clay,Kharif,26.96,74.19,146.7,Rice
clay,Kharif,28.87,73.42,192.91,Rice
clay,Kharif,27.7,75.4,212.54,Rice
clay,Kharif,29.48,86.86,197.6,Rice
clay,Kharif,30.57,86.1,160.12,Rice
clay,Kharif,25.69,88.86,207.64,Rice
alluvial,Kharif,25.7,79.98,208.47,Rice
alluvial,Kharif,25.14,72.79,194.5,Rice
alluvial,Kharif,29.98,78.57,178.35,Rice
alluvial,Kharif,25.75,89.95,170.95,Rice
clay,Kharif,30.05,87.22,135.28,Rice
clay,Kharif,30.34,78.44,126.35,Rice
alluvial,Kharif,28.77,79.36,145.14,Rice
clay,Kharif,29.44,72.29,208.48,Rice
alluvial,Kharif,30.15,76.8,149.35,Rice
clay,Kharif,27.63,89.08,207.59,Rice
alluvial,Kharif,31.78,85.24,170.77,Rice
clay,Kharif,30.96,75.97,183.89,Rice
clay,Kharif,25.22,85.25,173.94,Rice
clay,Kharif,28.79,79.77,131.19,Rice
alluvial,Kharif,31.03,86.63,150.75,Rice
clay,Kharif,25.93,81.35,127.88,Rice
alluvial,Kharif,30.53,89.56,173.27,Rice
clay,Kharif,25.03,79.51,174.98,Rice
alluvial,Kharif,28.22,82.13,216.44,Rice
clay,Kharif,29.7,77.98,187.17,Rice
alluvial,Kharif,27.5,80.35,132.1,Rice
clay,Kharif,24.51,70.42,175.39,Rice
clay,Kharif,24.06,84.16,125.89,Rice
clay,Kharif,31.24,87.19,127.09,Rice
clay,Kharif,26.23,79.71,173.92,Rice
alluvial,Kharif,25.94,79.46,160.71,Rice
clay,Kharif,24.78,78.62,162.36,Rice
alluvial,Kharif,30.91,71.08,185.35,Rice
clay,Kharif,24.48,84.56,200.06,Rice
clay,Kharif,25.99,73.8,164.86,Rice
alluvial,Kharif,25.47,79.25,207.45,Rice
clay,Kharif,27.55,87.23,175.03,Rice
clay,Kharif,29.22,80.81,121.48,Rice
clay,Kharif,31.41,86.97,136.63,Rice
alluvial,Kharif,27.85,87.29,210.24,Rice
clay,Kharif,27.03,89.71,146.52,Rice
alluvial,Kharif,26.28,83.93,193.05,Rice
alluvial,Kharif,25.24,75.93,216.87,Rice
clay,Kharif,29.98,71.14,178.42,Rice
clay,Kharif,24.46,80.16,205.13,Rice
